"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2021","0.1672","0.1616","0.1672","0.1535","212.39K","3.45%"
"Apr 23, 2021","0.1616","0.1763","0.1763","0.1420","325.12K","-8.37%"
"Apr 22, 2021","0.1763","0.2076","0.2076","0.1705","205.19K","-15.05%"
"Apr 21, 2021","0.2076","0.2172","0.2197","0.2047","121.80K","-4.44%"
"Apr 20, 2021","0.2172","0.2016","0.2262","0.1812","221.71K","7.74%"
"Apr 19, 2021","0.2016","0.2106","0.2185","0.1933","140.10K","-4.26%"
"Apr 18, 2021","0.2106","0.2352","0.2393","0.1981","186.74K","-10.48%"
"Apr 17, 2021","0.2352","0.2361","0.2532","0.2285","184.39K","-0.37%"
"Apr 16, 2021","0.2361","0.2480","0.2480","0.2257","100.18K","-4.79%"
"Apr 15, 2021","0.2480","0.2416","0.2507","0.2329","215.11K","2.65%"
"Apr 14, 2021","0.2416","0.2591","0.2591","0.2249","165.65K","-6.77%"
"Apr 13, 2021","0.2591","0.2655","0.2698","0.2443","224.33K","-2.39%"
"Apr 12, 2021","0.2655","0.2423","0.2910","0.2324","309.20K","9.57%"
"Apr 11, 2021","0.2423","0.2483","0.2483","0.2206","130.56K","-2.42%"
"Apr 10, 2021","0.2483","0.2426","0.2673","0.2391","241.87K","2.33%"
"Apr 09, 2021","0.2426","0.2262","0.2496","0.2214","183.66K","7.28%"
"Apr 08, 2021","0.2262","0.2045","0.2462","0.1996","318.25K","10.59%"
"Apr 07, 2021","0.2045","0.2353","0.2353","0.1737","595.41K","-13.08%"
"Apr 06, 2021","0.2353","0.2460","0.2713","0.2148","294.09K","-4.37%"
"Apr 05, 2021","0.2460","0.2805","0.2805","0.2434","164.01K","-12.29%"
"Apr 04, 2021","0.2805","0.2632","0.2840","0.2512","128.77K","6.55%"
"Apr 03, 2021","0.2632","0.3065","0.3144","0.2556","251.72K","-14.11%"
"Apr 02, 2021","0.3065","0.3076","0.3077","0.2890","70.08K","-0.37%"
"Apr 01, 2021","0.3076","0.3110","0.3110","0.2742","241.21K","-1.10%"
"Mar 31, 2021","0.3110","0.2972","0.3298","0.2972","192.90K","4.66%"
"Mar 30, 2021","0.2972","0.2732","0.3198","0.2668","270.15K","8.77%"
"Mar 29, 2021","0.2732","0.2651","0.2791","0.2548","176.44K","3.06%"
"Mar 28, 2021","0.2651","0.2542","0.2708","0.2301","131.09K","4.31%"
"Mar 27, 2021","0.2542","0.2349","0.2573","0.2136","151.89K","8.19%"
"Mar 26, 2021","0.2349","0.2230","0.2349","0.2176","139.04K","5.35%"
"Mar 25, 2021","0.2230","0.2139","0.2295","0.2069","221.83K","4.23%"
"Mar 24, 2021","0.2139","0.2320","0.2554","0.2093","225.52K","-7.80%"
"Mar 23, 2021","0.2320","0.2273","0.2359","0.1961","422.47K","2.08%"
"Mar 22, 2021","0.2273","0.2311","0.2685","0.2168","410.49K","-1.62%"
"Mar 21, 2021","0.2311","0.2178","0.2595","0.2076","220.97K","6.09%"
"Mar 20, 2021","0.2178","0.2402","0.2403","0.2133","255.92K","-9.32%"
"Mar 19, 2021","0.2402","0.2391","0.2521","0.2157","174.34K","0.46%"
"Mar 18, 2021","0.2391","0.2467","0.2604","0.2276","265.64K","-3.07%"
"Mar 17, 2021","0.2467","0.2449","0.2524","0.1924","636.91K","0.72%"
"Mar 16, 2021","0.2449","0.2830","0.2830","0.2330","251.85K","-13.45%"
"Mar 15, 2021","0.2830","0.2835","0.2959","0.2525","510.47K","-0.20%"
"Mar 14, 2021","0.2835","0.2902","0.3128","0.2561","494.95K","-2.29%"
"Mar 13, 2021","0.2902","0.2491","0.3275","0.2304","1.24M","16.49%"
"Mar 12, 2021","0.2491","0.1871","0.2616","0.1827","846.83K","33.15%"
