"Date","Price","Open","High","Low","Vol.","Change %"
"May 04, 2019","0.0484","0.0523","0.0524","0.0472","240.16K","-7.46%"
"May 03, 2019","0.0523","0.0510","0.0528","0.0510","196.07K","2.55%"
"May 02, 2019","0.0510","0.0511","0.0513","0.0503","268.05K","-0.20%"
"May 01, 2019","0.0511","0.0503","0.0513","0.0501","238.20K","1.59%"
"Apr 30, 2019","0.0503","0.0481","0.0507","0.0471","246.97K","4.57%"
"Apr 29, 2019","0.0481","0.0491","0.0503","0.0475","389.27K","-2.04%"
"Apr 28, 2019","0.0491","0.0502","0.0518","0.0487","247.82K","-2.19%"
"Apr 27, 2019","0.0502","0.0494","0.0502","0.0474","186.21K","1.62%"
"Apr 26, 2019","0.0494","0.0484","0.0520","0.0474","263.01K","2.07%"
"Apr 25, 2019","0.0484","0.0513","0.0522","0.0475","264.70K","-5.65%"
"Apr 24, 2019","0.0513","0.0542","0.0551","0.0496","970.05K","-5.35%"
"Apr 23, 2019","0.0542","0.0550","0.0568","0.0535","415.78K","-1.45%"
"Apr 22, 2019","0.0550","0.0549","0.0553","0.0524","697.84K","0.18%"
"Apr 21, 2019","0.0549","0.0570","0.0578","0.0532","1.29M","-3.68%"
"Apr 20, 2019","0.0570","0.0583","0.0603","0.0570","1.51M","-2.23%"
"Apr 19, 2019","0.0583","0.0553","0.0603","0.0547","1.63M","5.42%"
"Apr 18, 2019","0.0553","0.0542","0.0565","0.0540","942.52K","2.03%"
"Apr 17, 2019","0.0542","0.0558","0.0565","0.0537","1.25M","-2.87%"
"Apr 16, 2019","0.0558","0.0518","0.0566","0.0518","670.83K","7.72%"
"Apr 15, 2019","0.0518","0.0556","0.0562","0.0514","589.73K","-6.83%"
"Apr 14, 2019","0.0556","0.0553","0.0572","0.0536","944.08K","0.54%"
"Apr 13, 2019","0.0553","0.0527","0.0560","0.0523","1.10M","4.93%"
"Apr 12, 2019","0.0527","0.0523","0.0538","0.0491","1.91M","0.76%"
"Apr 11, 2019","0.0523","0.0559","0.0563","0.0491","1.28M","-6.44%"
"Apr 10, 2019","0.0559","0.0564","0.0584","0.0555","984.17K","-0.89%"
"Apr 09, 2019","0.0564","0.0582","0.0613","0.0544","1.53M","-3.09%"
"Apr 08, 2019","0.0582","0.0604","0.0613","0.0560","3.69M","-3.64%"
"Apr 07, 2019","0.0604","0.0591","0.0640","0.0585","4.05M","2.20%"
"Apr 06, 2019","0.0591","0.0586","0.0601","0.0579","1.36M","0.85%"
"Apr 05, 2019","0.0586","0.0595","0.0603","0.0581","865.32K","-1.51%"
"Apr 04, 2019","0.0595","0.0569","0.0604","0.0562","1.41M","4.57%"
"Apr 03, 2019","0.0569","0.0582","0.0647","0.0555","221.85K","-2.23%"
"Apr 02, 2019","0.0582","0.0569","0.0589","0.0545","211.42K","2.46%"
"Apr 01, 2019","0.0568","0.0569","0.0579","0.0557","72.84K","-0.18%"
"Mar 31, 2019","0.0569","0.0570","0.0580","0.0552","44.75K","-0.18%"
"Mar 30, 2019","0.0570","0.0605","0.0605","0.0560","156.14K","-5.79%"
"Mar 29, 2019","0.0605","0.0653","0.0655","0.0590","181.80K","-7.35%"
"Mar 28, 2019","0.0653","0.0518","0.0824","0.0509","385.50K","26.06%"
"Mar 27, 2019","0.0518","0.0494","0.0526","0.0488","6.40K","4.86%"
"Mar 26, 2019","0.0494","0.0501","0.0502","0.0480","8.63K","-1.40%"
"Mar 25, 2019","0.0501","0.0523","0.0530","0.0490","19.55K","-4.21%"
"Mar 24, 2019","0.0523","0.0503","0.0557","0.0502","43.48K","3.98%"
"Mar 23, 2019","0.0503","0.0497","0.0513","0.0495","6.25K","1.21%"
"Mar 22, 2019","0.0497","0.0487","0.0514","0.0481","6.92K","2.05%"
"Mar 21, 2019","0.0487","0.0500","0.0515","0.0475","9.98K","-2.60%"
"Mar 20, 2019","0.0500","0.0495","0.0508","0.0485","18.90K","1.01%"
"Mar 19, 2019","0.0495","0.0511","0.0517","0.0485","28.12K","-3.13%"
"Mar 18, 2019","0.0511","0.0498","0.0530","0.0489","19.58K","2.61%"
"Mar 17, 2019","0.0498","0.0487","0.0504","0.0476","10.90K","2.26%"
"Mar 16, 2019","0.0487","0.0484","0.0495","0.0471","9.52K","0.62%"
"Mar 15, 2019","0.0484","0.0468","0.0500","0.0456","19.82K","3.42%"
"Mar 14, 2019","0.0468","0.0459","0.0470","0.0445","21.46K","1.96%"
"Mar 13, 2019","0.0459","0.0470","0.0476","0.0445","6.35K","-2.34%"
"Mar 12, 2019","0.0470","0.0445","0.0480","0.0426","10.06K","5.62%"
"Mar 11, 2019","0.0445","0.0478","0.0485","0.0433","13.85K","-6.90%"
"Mar 10, 2019","0.0478","0.0468","0.0481","0.0457","10.42K","2.14%"
"Mar 09, 2019","0.0468","0.0446","0.0505","0.0439","68.12K","4.93%"
"Mar 08, 2019","0.0446","0.0411","0.0505","0.0411","84.27K","8.52%"
"Mar 07, 2019","0.0411","0.0410","0.0415","0.0402","17.02K","0.24%"
"Mar 06, 2019","0.0410","0.0429","0.0429","0.0408","10.60K","-4.43%"
"Mar 05, 2019","0.0429","0.0396","0.0438","0.0390","50.43K","8.33%"
"Mar 04, 2019","0.0396","0.0400","0.0412","0.0374","12.47K","-1.00%"
"Mar 03, 2019","0.0400","0.0417","0.0421","0.0400","12.39K","-4.08%"
"Mar 02, 2019","0.0417","0.0425","0.0425","0.0393","15.43K","-1.88%"
"Mar 01, 2019","0.0425","0.0429","0.0458","0.0419","35.96K","-0.93%"
"Feb 28, 2019","0.0429","0.0426","0.0443","0.0405","30.86K","0.70%"
"Feb 27, 2019","0.0426","0.0479","0.0525","0.0405","129.96K","-11.06%"
"Feb 26, 2019","0.0479","0.0362","0.0550","0.0356","159.86K","32.32%"
"Feb 25, 2019","0.0362","0.0354","0.0366","0.0353","340.07K","2.26%"
"Feb 24, 2019","0.0354","0.0396","0.0410","0.0351","593.22K","-10.61%"
"Feb 23, 2019","0.0396","0.0386","0.0400","0.0378","312.63K","2.59%"
"Feb 22, 2019","0.0386","0.0371","0.0386","0.0371","270.33K","4.04%"
"Feb 21, 2019","0.0371","0.0383","0.0383","0.0368","322.03K","-3.13%"
"Feb 20, 2019","0.0383","0.0381","0.0387","0.0374","460.75K","0.52%"
"Feb 19, 2019","0.0381","0.0391","0.0395","0.0370","218.32K","-2.56%"
"Feb 18, 2019","0.0391","0.0375","0.0397","0.0371","574.01K","4.27%"
"Feb 17, 2019","0.0375","0.0378","0.0384","0.0366","261.94K","-0.79%"
"Feb 16, 2019","0.0378","0.0350","0.0395","0.0350","713.16K","8.00%"
"Feb 15, 2019","0.0350","0.0345","0.0357","0.0344","89.21K","1.45%"
"Feb 14, 2019","0.0345","0.0348","0.0367","0.0340","436.43K","-0.86%"
"Feb 13, 2019","0.0348","0.0345","0.0356","0.0345","141.95K","0.87%"
"Feb 12, 2019","0.0345","0.0340","0.0348","0.0334","76.76K","1.47%"
"Feb 11, 2019","0.0340","0.0346","0.0346","0.0333","129.44K","-1.73%"
"Feb 10, 2019","0.0346","0.0352","0.0352","0.0334","98.58K","-1.70%"
"Feb 09, 2019","0.0352","0.0356","0.0356","0.0343","82.48K","-1.12%"
"Feb 08, 2019","0.0356","0.0323","0.0369","0.0319","158.01K","10.22%"
"Feb 07, 2019","0.0323","0.0319","0.0327","0.0319","29.45K","1.25%"
"Feb 06, 2019","0.0319","0.0345","0.0355","0.0319","85.32K","-7.54%"
"Feb 05, 2019","0.0345","0.0335","0.0349","0.0332","81.79K","2.99%"
"Feb 04, 2019","0.0335","0.0336","0.0337","0.0326","312.29K","-0.30%"
"Feb 03, 2019","0.0336","0.0342","0.0342","0.0335","142.20K","-1.75%"
"Feb 02, 2019","0.0342","0.0337","0.0346","0.0334","62.24K","1.48%"
"Feb 01, 2019","0.0337","0.0338","0.0355","0.0325","386.59K","-0.30%"
"Jan 31, 2019","0.0338","0.0355","0.0357","0.0334","203.14K","-4.79%"
"Jan 30, 2019","0.0355","0.0347","0.0358","0.0339","80.58K","2.31%"
"Jan 29, 2019","0.0347","0.0351","0.0351","0.0330","82.34K","-1.14%"
"Jan 28, 2019","0.0351","0.0375","0.0375","0.0340","249.51K","-6.43%"
"Jan 27, 2019","0.0375","0.0401","0.0407","0.0375","298.42K","-6.44%"
"Jan 26, 2019","0.0401","0.0393","0.0418","0.0393","364.62K","2.02%"
"Jan 25, 2019","0.0393","0.0394","0.0399","0.0379","218.56K","-0.25%"
"Jan 24, 2019","0.0394","0.0380","0.0394","0.0378","227.61K","3.68%"
"Jan 23, 2019","0.0380","0.0393","0.0407","0.0380","311.34K","-3.33%"
"Jan 22, 2019","0.0393","0.0380","0.0402","0.0363","255.77K","3.46%"
"Jan 21, 2019","0.0380","0.0380","0.0387","0.0369","138.70K","0.00%"
"Jan 20, 2019","0.0380","0.0410","0.0412","0.0366","289.22K","-7.30%"
"Jan 19, 2019","0.0410","0.0391","0.0415","0.0391","234.55K","4.84%"
"Jan 18, 2019","0.0391","0.0402","0.0405","0.0380","95.03K","-2.77%"
"Jan 17, 2019","0.0402","0.0404","0.0410","0.0386","377.84K","-0.38%"
"Jan 16, 2019","0.0404","0.0367","0.0404","0.0367","349.54K","10.05%"
"Jan 15, 2019","0.0367","0.0377","0.0389","0.0360","150.34K","-2.64%"
"Jan 14, 2019","0.0377","0.0350","0.0377","0.0350","151.88K","7.63%"
"Jan 13, 2019","0.0350","0.0381","0.0396","0.0346","172.91K","-8.12%"
"Jan 12, 2019","0.0381","0.0381","0.0387","0.0371","64.94K","0.58%"
"Jan 11, 2019","0.0379","0.0375","0.0381","0.0373","320.22K","0.91%"
"Jan 10, 2019","0.0375","0.0458","0.0459","0.0369","856.46K","-18.06%"
"Jan 09, 2019","0.0458","0.0446","0.0462","0.0446","471.44K","2.64%"
"Jan 08, 2019","0.0446","0.0448","0.0451","0.0443","490.75K","-0.48%"
"Jan 07, 2019","0.0448","0.0450","0.0457","0.0447","727.64K","-0.42%"
"Jan 06, 2019","0.0450","0.0452","0.0458","0.0445","412.54K","-0.41%"
"Jan 05, 2019","0.0452","0.0447","0.0464","0.0447","540.90K","1.26%"
"Jan 04, 2019","0.0447","0.0440","0.0447","0.0437","389.47K","1.44%"
"Jan 03, 2019","0.0440","0.0453","0.0457","0.0435","767.19K","-2.81%"
"Jan 02, 2019","0.0453","0.0455","0.0457","0.0443","887.53K","-0.40%"
"Jan 01, 2019","0.0455","0.0441","0.0458","0.0434","854.95K","3.16%"
"Dec 31, 2018","0.0441","0.0469","0.0471","0.0441","901.89K","-5.98%"
"Dec 30, 2018","0.0469","0.0473","0.0478","0.0468","677.09K","-0.88%"
"Dec 29, 2018","0.0473","0.0498","0.0505","0.0471","959.54K","-5.01%"
"Dec 28, 2018","0.0498","0.0437","0.0502","0.0436","1.12M","14.06%"
"Dec 27, 2018","0.0437","0.0488","0.0490","0.0435","881.10K","-10.48%"
"Dec 26, 2018","0.0488","0.0488","0.0503","0.0479","885.33K","0.00%"
"Dec 25, 2018","0.0488","0.0542","0.0543","0.0481","783.33K","-9.90%"
